NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuLoad,MemLoad,MsgRx,MsgTx
IMS-CSCF-A01,P_CSCF,20260601000000,5,1263,1253,10,782,769,13,18,4,1,2708,144.49,32.26,43.17,13017,11471
IMS-CSCF-A01,P_CSCF,20260601000500,5,1279,1255,24,792,772,20,34,8,2,2742,145.14,31.94,44.08,12455,12209
IMS-CSCF-A01,P_CSCF,20260601001000,5,1267,1259,8,784,763,21,23,5,1,2716,119.85,31.59,44.57,12556,11588
IMS-CSCF-A01,P_CSCF,20260601001500,5,1233,1218,15,763,749,14,23,5,1,2643,134.52,35.23,45.46,12587,11928
IMS-CSCF-A01,P_CSCF,20260601002000,5,1272,1261,11,787,781,6,14,3,0,2726,130.8,32.7,44.08,12657,11884
IMS-CSCF-A01,P_CSCF,20260601002500,5,1228,1195,,760,750,10,33,8,2,2633,133.68,34.57,42.45,11969,11562
IMS-CSCF-A01,P_CSCF,20260601003000,5,1259,1233,26,779,760,19,35,9,1,2698,125.99,35.8,45.35,12534,12023
IMS-CSCF-A01,P_CSCF,20260601003500,5,1258,1239,19,778,765,13,24,6,2,2696,129.48,33.44,41.95,12487,11870
IMS-CSCF-A01,P_CSCF,20260601004000,5,1244,1214,30,770,750,20,40,8,2,2666,130.57,31.79,46.52,12521,11634
IMS-CSCF-A01,P_CSCF,20260601004500,5,1224,1198,26,758,738,20,36,8,2,2624,128.87,32.12,45.18,12547,11532
IMS-CSCF-A01,P_CSCF,20260601005000,5,1266,1253,13,784,769,15,22,5,1,2714,135.55,30.31,42.94,12947,11745
IMS-CSCF-A01,P_CSCF,20260601005500,5,1244,1223,21,770,763,7,22,5,1,2666,126.25,33.51,44.85,12285,11979
IMS-CSCF-A01,P_CSCF,20260601010000,5,1245,1219,26,771,763,8,27,6,1,2669,123.61,33.5,43.87,12430,11705
IMS-CSCF-A01,P_CSCF,20260601010500,5,1212,1204,8,750,745,5,11,2,0,2597,134.87,32.3,46.3,12238,10988
IMS-CSCF-A01,P_CSCF,20260601011000,5,1265,1257,8,783,770,13,16,4,1,2712,131.76,33.67,46.12,12411,12240
IMS-CSCF-A01,P_CSCF,20260601011500,5,1239,1227,12,767,744,23,28,6,1,2655,129.98,33.14,44.86,12552,11545
IMS-CSCF-A01,P_CSCF,20260601012000,5,1236,1221,15,765,742,23,29,7,2,2648,124.15,35.71,46.34,12430,11958
IMS-CSCF-A01,P_CSCF,20260601012500,5,1288,1274,14,797,782,15,22,5,2,2761,125.82,33.28,43.36,12655,12353
IMS-CSCF-A01,P_CSCF,20260601013000,5,1281,1264,17,793,780,13,24,5,1,2747,140.42,33.56,45.85,12629,12362
IMS-CSCF-A01,P_CSCF,20260601013500,5,1217,1181,36,753,747,6,32,8,2,2609,141.39,30.08,45.6,12524,11089
IMS-CSCF-A01,P_CSCF,20260601014000,5,1218,1202,16,754,746,8,18,5,1,2610,135.67,36.45,44.26,12489,11346
IMS-CSCF-A01,P_CSCF,20260601014500,5,1226,1214,12,759,742,17,23,5,1,2627,121.91,31.33,45.35,11928,11907
IMS-CSCF-A01,P_CSCF,20260601015000,5,1261,1248,13,780,757,23,29,6,1,2702,132.45,30.68,44.47,12731,11944
IMS-CSCF-A01,P_CSCF,20260601015500,5,1356,1325,31,839,831,8,29,8,2,2907,143.32,32.22,43.07,13733,12905
IMS-CSCF-A01,P_CSCF,20260601020000,5,1228,1200,28,760,752,8,28,7,1,2631,136.1,33.3,45.42,12211,11226
IMS-CSCF-A01,P_CSCF,20260601020500,5,1269,1252,17,785,764,21,29,7,2,2719,137.74,29.51,46.81,12835,11510
IMS-CSCF-A01,P_CSCF,20260601021000,5,1361,1345,16,842,832,10,21,4,1,2917,134.15,38.19,45.11,13241,13137
IMS-CSCF-A01,P_CSCF,20260601021500,5,1276,1240,36,790,768,22,45,11,2,2736,134.3,35.03,44.54,12722,12176
IMS-CSCF-A01,P_CSCF,20260601022000,5,1285,1272,13,795,773,22,27,7,1,2754,124.91,32.6,43.54,12980,11694
IMS-CSCF-A01,P_CSCF,20260601022500,5,1245,1225,20,771,758,13,26,6,1,2669,134.34,30.15,43.39,12684,11594
IMS-CSCF-A01,P_CSCF,20260601023000,5,1279,1266,13,792,782,10,18,4,1,2742,137.28,32.6,46.08,12740,12350
IMS-CSCF-A01,P_CSCF,20260601023500,5,1314,1301,13,813,790,23,29,6,1,2816,132.51,35.6,44.75,12964,11997
IMS-CSCF-A01,P_CSCF,20260601024000,5,1271,1237,34,787,776,11,35,8,2,2725,127.11,34.52,45.16,12686,11563
IMS-CSCF-A01,P_CSCF,20260601024500,5,1291,1254,37,799,786,13,38,10,2,2767,136.98,32.07,46.24,12766,12309
IMS-CSCF-A01,P_CSCF,20260601025000,5,1348,1338,10,835,816,19,22,6,1,2890,133.85,37.51,43.37,13718,12329
IMS-CSCF-A01,P_CSCF,20260601025500,5,1276,1262,14,790,772,18,25,5,2,2734,134.8,35.03,43.72,12399,11920
IMS-CSCF-A01,P_CSCF,20260601030000,5,1231,1203,28,762,748,14,33,7,2,2639,139.24,31.51,45.85,12398,11682
IMS-CSCF-A01,P_CSCF,20260601030500,5,1233,1218,15,763,758,5,16,3,1,2642,128.59,33.95,44.22,12086,11501
IMS-CSCF-A01,P_CSCF,20260601031000,5,1294,1265,29,801,786,15,35,8,1,2773,125.14,34.63,46.62,13225,12391
IMS-CSCF-A01,P_CSCF,20260601031500,5,1258,1247,11,779,765,14,19,5,1,2696,130.75,32.04,45.64,12826,11473
IMS-CSCF-A01,P_CSCF,20260601032000,5,1301,1293,8,805,787,18,20,5,1,2789,125.68,35.09,48.52,13368,12617
IMS-CSCF-A01,P_CSCF,20260601032500,5,1248,1215,33,773,759,14,36,9,2,2676,131.86,33.62,43.79,12838,11697
IMS-CSCF-A01,P_CSCF,20260601033000,5,1301,1287,14,805,786,19,26,6,1,2788,129.71,33.11,42.9,12852,12486
IMS-CSCF-A01,P_CSCF,20260601033500,5,1251,1220,31,774,766,8,30,7,2,2681,143.29,32.11
IMS-CSCF-A01,P_CSCF,20260601034000,5,1258,1236,22,778,755,23,33,9,3,2696,133.42,30.45,44.03,12472,12006
IMS-CSCF-A01,P_CSCF,20260601034500,5,1256,1222,34,777,759,18,41,9,2,2691,136.5,33.41,43.01,12300,11907
IMS-CSCF-A01,P_CSCF,20260601035000,5,1217,1207,10,753,732,21,24,6,1,2609,114.05,29.79,44.26,12145,11171
