NEName,NeType,CollectTime,Interval,RegAtt,RegSucc,RegFail,InvAtt,InvSucc,InvFail,Rsp4xx,Rsp5xx,Rsp6xx,ActSess,SetupTime,CpuUsage,MemLoad,MsgRx,MsgTx,InvFail5xx,RegSuccRate
IMS-CSCF-A01,P_CSCF,20260608000000,5,1236,1223,13,765,748,17,24,5,1,2648,124.59,34.62,45.55,12196,11737,3,98.95
IMS-CSCF-A01,P_CSCF,20260608000500,5,1173,1158,15,726,704,22,28,7,2,2514,134.18,30.97,45.57,12107,10828,4,98.72
IMS-CSCF-A01,P_CSCF,20260608001000,5,1263,1250,13,782,762,20,26,6,1,2707,124.07,33.1,44.76,12651,11513,4,98.97
IMS-CSCF-A01,P_CSCF,20260608001500,5,1249,1242,7,773,756,17,18,5,1,2678,135.83,34.74,45.96,12415,11640,4,99.44
IMS-CSCF-A01,P_CSCF,20260608002000,5,1236,1211,25,765,746,19,36,7,1,2649,139.62,31.05,43.05,12485,11528,3,97.98
IMS-CSCF-A01,P_CSCF,20260608002500,5,1292,1260,32,800,786,14,37,8,1,2770,134.85,37.55,42.73,12645,12187,2,97.52
IMS-CSCF-A01,P_CSCF,20260608003000,5,1273,1242,31,788,770,18,,9,1,2728,127.24,32.73,42.26,12880,11598,3,97.56
IMS-CSCF-A01,P_CSCF,20260608003500,5,1280,1255,25,792,785,7,25,6,1,2744,135.39,33.49,44.88,12746,11908,1,98.05
IMS-CSCF-A01,P_CSCF,20260608004000,5,1265,1246,19,783,765,18,28,7,2,2710,139.34,31.46,42.69,12563,12131,3,98.5
IMS-CSCF-A01,P_CSCF,20260608004500,5,1324,1292,32,820,808,12,33,8,3,2838,129.59,37.28,44.14,13310,12718,2,97.58
IMS-CSCF-A01,P_CSCF,20260608005000,5,1292,1282,10,800,779,21,24,5,2,2769,134.63,34.3,44.9,12740,12393,3,99.23
IMS-CSCF-A01,P_CSCF,20260608005500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMS-CSCF-A01,P_CSCF,20260608010000,5,1259,1239,20,779,773,6,20,5,1,2698,131.3,33.69,42.83,12993,12047,1,98.41
IMS-CSCF-A01,P_CSCF,20260608010500,5,1227,1204,23,759,737,22,35,8,2,2629,132.49,32.47,43.91,12063,11712,4,98.13
IMS-CSCF-A01,P_CSCF,20260608011000,5,1276,1247,29,790,779,11,31,7,2,2734,127.24,34.94,43.74,12677,12269,2,97.73
IMS-CSCF-A01,P_CSCF,20260608011500,5,1223,1199,24,757,748,9,26,6,1,2621,139.36,33.83,39.92,12048,11467,2,98.04
IMS-CSCF-A01,P_CSCF,20260608012000,5,1324,1302,22,820,808,12,26,6,2,2839,133.24,34.89,44.56,13248,12502,2,98.34
IMS-CSCF-A01,P_CSCF,20260608012500,5,1265,1247,18,783,767,16,25,7,2,2711,126.61,33.64,45.03,12627,12089,3,98.58
IMS-CSCF-A01,P_CSCF,20260608013000,5,1300,1265,35,805,794,11,35,9,2,2787,122.18,29.21,43.42,12957,12405,2,97.31
IMS-CSCF-A01,P_CSCF,20260608013500,5,1281,1259,22,793,772,21,33,8,2,2747,114.99,33.59,40.62,12742,11857,4,98.28
IMS-CSCF-A01,P_CSCF,20260608014000,5,1200,1174,26,742,733,9,28,6,1,2571,135.79,29.69,44.22,11975,11567,2,97.83
IMS-CSCF-A01,P_CSCF,20260608014500,5,1259,1224,35,779,759,20,42,10,3,2699,124.75,35.79,43.58,12970,12105,4,97.22
IMS-CSCF-A01,P_CSCF,20260608015000,5,1213,1188,25,751,737,14,30,7,2,2600,139.29,32.04,43.29,12411,11433,3,97.94
IMS-CSCF-A01,P_CSCF,20260608015500,5,1241,1213,28,768,764,4,25,6,1,2659,132.01,31.34,42.33,12287,12001,1,97.74
IMS-CSCF-A01,P_CSCF,20260608020000,5,1258,1223,35,779,772,7,33,8,1,2696,131.06,32.16,45.78,13013,11689,1,97.22
IMS-CSCF-A01,P_CSCF,20260608020500,5,1219,1184,35,754,749,5,30,8,2,2613,139.75,33.62,45.88,12461,11291,1,97.13
IMS-CSCF-A01,P_CSCF,20260608021000,5,1191,1160,31,737,722,15,35,8,3,2554,126.16,31.72,46.28,11595,11283,3,97.4
IMS-CSCF-A01,P_CSCF,20260608021500,5,1300,1274,26,805,787,18,35,7,2,2787,131.96,32.91,46.7,12824,12019,3,98.0
IMS-CSCF-A01,P_CSCF,20260608022000,5,1265,1249,16,783,771,12,22,5,1,2711,149.95,33.93,44.54,12571,12145,2,98.74
IMS-CSCF-A01,P_CSCF,20260608022500,5,1315,1308,7,814,797,17,19,4,1,2818,127.44,35.65,46.42,13358,12129,3,99.47
IMS-CSCF-A01,P_CSCF,20260608023000,5,1254,1239,15,776,760,16,24,5,2,2687,133.03,34.48,44.02,12737,11569,3,98.8
IMS-CSCF-A01,P_CSCF,20260608023500,5,1250,1213,37,773,757,16,42,9,2,2679,126.67,30.83,41.68,12625,12081,3,97.04
IMS-CSCF-A01,P_CSCF,20260608024000,5,1234,1215,19,764,750,14,27,5,1,2645,133.29,32.39,45.41,12469,11522,2,98.46
IMS-CSCF-A01,P_CSCF,20260608024000,5,1234,1215,19,764,750,14,27,5,1,2645,133.29,32.39,45.41,12469,11522,2,98.46
IMS-CSCF-A01,P_CSCF,20260608024500,5,1240,1208,32,768,748,20,41,8,3,2658,131.89,33.51,43.77,12785,11317,3,97.42
IMS-CSCF-A01,P_CSCF,20260608025000,5,1246,1210,36,771,758,13,39,9,1,2670,133.48,34.05,43.0,12542,12042,2,97.11
IMS-CSCF-A01,P_CSCF,20260608025500,5,1241,1217,24,768,757,11,28,6,1,2660,129.92,29.66,45.83,12564,11556,2,98.07
IMS-CSCF-A01,P_CSCF,20260608030000,5,1274,1246,28,788,777,11,30,8,1,2730,121.88,33.5,44.84,12996,11590,2,97.8
IMS-CSCF-A01,P_CSCF,20260608030500,5,1283,1267,16,794,778,16,24,6,2,2750,138.4,33.05,43.4,12705,12066,3,98.75
IMS-CSCF-A01,P_CSCF,20260608031000,5,1253,1247,6,776,771,5,8,2,1,2686,140.26,35.6,45.69,12367,11412,1,99.52
IMS-CSCF-A01,P_CSCF,20260608031500,5,1219,1200,19,754,747,7,21,4,1,2612,137.89,35.17,45.85,11853,11655,1,98.44
IMS-CSCF-A01,P_CSCF,20260608032000,5,1302,1280,22,806,787,19,33,7,1,2791,142.29,33.95,46.13,12981,12512,3,98.31
IMS-CSCF-A01,P_CSCF,20260608032500,5,1282,1248,34,794,775,19,40,10,3,2748,134.95,35.18,46.24,12505,12080,4,97.35
IMS-CSCF-A01,P_CSCF,20260608033000,5,1240,1222,18,768,755,13,24,6,1,2658,134.02,36.04,45.04,12291,11916,3,98.55
IMS-CSCF-A01,P_CSCF,20260608033500,5,1242,1214,28,769,749,20,37,9,2,2662,126.88,32.47,45.9,12594,11668,4,97.75
IMS-CSCF-A01,P_CSCF,20260608034000,5,1224,1209,15,757,740,17,25,6,1,2623,133.21,30.68,43.32,12143,11263,3,98.77
